flood_event_name,claim_count,total_paid_billions,avg_severity
Hurricane Katrina,208348,16.26,78051
Hurricane Harvey,92398,9.06,98015
Hurricane Sandy,144848,8.96,61854
Hurricane Helene,58071,6.74,116088
Hurricane Ian,48776,4.92,100800
Hurricane Ike,58126,2.7,46494
Hurricane Irene,73685,1.47,19886
Hurricane Ida,28317,1.35,47683
Hurricane Ivan,20137,1.33,65820
Hurricane Milton,21664,1.2,55521
Tropical Storm Allison,39463,1.14,28996
Hurricane Irma,33340,1.11,33441
Tropical Storm Imelda,10940,0.75,68843
Hurricane Florence,16919,0.74,43978
Hurricane Matthew,21818,0.66,30347
